pattern_id	pattern_ja	meaning_en	example_ja	example_en	common_mistake_ja	common_mistake_en	cultural_callout
n5-015		Adjective form: this / that / which + Noun (always followed by a noun)	この ほんを よみました。	I read this book.	これの ほんを よみます。	Don't write これの ほん. Use この directly before a noun. これ + noun is wrong - それ is for 'that pronoun', この is for 'this + noun'.	
n5-016		Location words: here / there-near-listener / over-there / where	ここは としょかんです。	Here is the library.	ここに ねこは あります。	Use います for animate things (people, animals); あります is only for inanimate things.	
n5-017		What - pronounced なに or なん depending on what follows	なにを たべますか。	What will you eat?	なんを たべますか。	なに before を (and が, も). Never なん before を. The trigger for なん is です / ですか / でしょう / counters.	
n5-018		Who - だれ casual; どなた polite	だれが きましたか。	Who came?	だれは きましたか。	Question words asking for new info take が, not は. は marks already-known topics - incompatible with asking for new identity.	だれ/どなた (who) — どなた is POLITE and used in business/customer service ("どなた様ですか？"). だれ in formal contexts sounds rude. Reception desks and phone-greeting scripts default to どなた.
n5-019		When - pairs with から / まで / ごろ for richer time questions	いつ いきますか。	When are you going?	いつに いきますか。	いつ does NOT take に. に is only for SPECIFIC time points (7時に, げつようびに). いつ is itself the question - no particle needed.	
n5-021		から ～ まで - from X to Y (paired range marker)	9時から 5時まで しごとです。	Work is from 9 to 5.	9時まで 5時から しごとです。	Order is start-end: から first, then まで.	〜から〜まで (range) is THE go-to pattern for opening hours signs (9:00から5:00まで). Business signs, transit timetables, and event posters use this format extensively. Master the noun form before the more flexible particle uses.
n5-023		Sentence-final question marker	あなたは がくせいですか。	Are you a student?	げんきか？	Plain か without ですか drops to rough/masculine register; use ですか in polite speech.	か (sentence-final question marker) is dropped in casual speech, where rising intonation alone signals a question ("コーヒー飲む？" instead of "コーヒー飲みますか？"). Including か with rising intonation in casual speech can sound stiff or interrogating.
n5-024		Or (between alternatives)	コーヒーか おちゃが いいです。	Coffee or tea would be good.	コーヒー、おちゃ	For "or", connect with か (e.g., A か B). Comma alone reads as a list, not an alternative.	
n5-025		ね - sentence-final confirmation / agreement particle	いい てんきですね。	Nice weather, isn't it?	Using ね when telling someone NEW info.	ね assumes shared knowledge. For information the listener doesn't have, よ is correct.	
n5-026		よ - sentence-final assertion / new-information particle	あした しけんですよ。	There's an exam tomorrow, you know.	Using よ in formal business writing.	ね/よ are conversational particles. They're rarely used in formal written contexts.	
n5-027		よね - combined: assertion + seeking agreement ("...right?")	あした 来ますよね。	You're coming tomorrow, right?	日本人ですよ。	よね combines よ (assertion) with ね (seeking agreement). Beginners drop ね and use よ alone, which sounds like a one-sided declaration rather than 'right?' / 'isn't it?' confirmation.	
n5-028		～の (possessive / noun-modifier)	これは わたしの 本です。	This is my book.	日本語を 話す が すきです。	Bare verbs cannot be subjects of すき. Add の (or こと) to nominalize: 話すのが すき.	の (attributive) is the most-used particle in Japanese, appearing every ~7 morphemes. Concatenated chains like 私の友だちの本 ("my friend's book") feel verbose to learners but are completely natural in Japanese. Avoid over-pruning.
n5-029		Possessive / noun-modifier	日本語の 先生です。	I am a teacher of Japanese. (noun-modifier の: links a topic to a role)	私の本の。	Possessive の attaches to a noun phrase but cannot end a sentence by itself. End the sentence with です / だ or another predicate. Mandarin learners sometimes overgeneralize 的 -> の and leave it dangling.	
n5-030		～の (nominalizer - turns a verb/adj clause into a noun)	本を 読むのが すきです。	I like reading books.	日本語を勉強するのが好きだ。 → 日本語の勉強。	Nominalizer の turns a verb/adjective clause into a noun phrase ('the act of -ing'). Replacing the whole clause with a noun (日本語の勉強) is grammatical but loses the verbal nuance the speaker intended. Use の to nominalize a clause, not to swap to a noun-only phrasing.	
n5-031		Sentence-final の as informal question marker (plain-form + の?)	どこへ いくの？	Where are you going?	あした きますの？	Informal の attaches to PLAIN form, not polite ます-form.	
n5-033		だけ - only / just (limiting particle)	コーヒーだけ 飲みます。	I drink only coffee.	一人だけです。	だけ is a particle that limits the preceding noun ('only N'); it is not a copula and does not pair with です in the same slot. Use it within a sentence: 'X だけ + verb' (only X did/has/is).	
n5-034		しか〜ない - only (with negative verb)	1,000円しか ありません。	I only have 1000 yen.	1,000円しか あります。	しか requires the verb to be negative.	
n5-035		ぐらい / くらい - about, approximately (used with quantities)	1時間ぐらい まちました。	I waited about an hour.	ぐらい with a specific point (like 9時ぐらいに)	ぐらい works for amounts and durations; ごろ is preferred for approximate time-points.	
n5-036		ごろ - around, approximately (used with time points)	3時ごろ あいましょう。	Let's meet around 3.	1時間ごろ	Duration takes ぐらい. ごろ is for clock/calendar time-points.	
n5-037		など - etc. (and so on)	りんごや バナナなどを よく 食べます。	I often eat apples, bananas, etc.	りんご、みかん、バナナなど。	など typically pairs with や ('and similar things') to indicate a non-exhaustive list. Listing items with bare commas + など omits the connector や that makes the 'etc.' reading natural in Japanese.	
n5-038		ずつ - each / per (distributive amount)	りんごを ひとつずつ ください。	Please give one apple each.	一つだけずつもらいました。	ずつ alone means 'each / per' (e.g. 一つずつ = 'one each'). Combining with だけ creates a redundant double-restrictive ('only one each only'). Use ずつ alone unless the intent is 'no more than one each'.	
n5-039		Pronouns: this / that / which one	これは ほんです。	This is a book.	これは本ですか。それは机です。	これ/それ/あれ are full noun-pronouns standing alone as the subject. Beginners mix them with この/その/あの (which are NOUN MODIFIERS and require a following noun). これ本 is ungrammatical; この本 is correct.	
n5-040		Adjectival demonstratives + noun	この ほんを よみました。	I read this book.	これ 本は おもしろいです。	これ is a standalone pronoun; cannot precede a noun. Use この + Noun for "this X".	この/その/あの (this / that / over-there) is determined by physical/conversational PROXIMITY: この (near speaker), その (near listener / just mentioned), あの (far from both or shared memory). Misuse marks foreign speech immediately.
n5-041		Location words	ここは としょかんです。	Here is the library.	ここに本があります。そこに本があります。あそこに本があります。	ここ = near speaker; そこ = near listener; あそこ = far from both. Beginners pick based on visual distance only and pair そこ with 'over there' incorrectly. The choice is relational, not absolute distance.	
n5-042		こちら / そちら / あちら / どちら - polite directions / options	こちらへ どうぞ。	This way, please.	こちはどこですか。	こちら is the polite-direction form; the casual form is こっち. Dropping the ら yields a non-word. Pair こちら/そちら/あちら/どちら together as a polite series with ます-form predicates.	
n5-043		こんな / そんな / あんな / どんな + Noun - 'this/that kind of'	どんな 本が すきですか。	What kind of books do you like?	こんなの本が好きです。	こんな/そんな/あんな/どんな directly modify the following noun - no の between them and the noun. Compare with これの (incorrect) vs この (correct) for the demonstrative noun-modifier.	
n5-044		こう / そう / ああ / どう - 'this way / that way / how'	こう してください。	Please do it this way.	こうの感じです。	こう/そう/ああ/どう modify verbs ('this way' / 'how') and never take の. To modify a noun use こんな; to modify a verb use こう.	
n5-045		What	なにを たべますか。	What will you eat?	なに ですか。	Before だ/です/の or counters, 何 reads なん. Standalone before particles を/が, it reads なに.	
n5-046		Who	だれが きましたか。	Who came?	誰さんですか。	誰 (だれ) is a question word and does not take the honorific suffix さん. The polite version is どなた (a separate word). Mixing 誰 + さん sounds infantile or sarcastic.	
n5-048		Where (covered by ここ-series)	ここは としょかんです。	Here is the library.	銀行はどこにありますか。 → 銀行はどこですか。	Beginners conflate どこですか (where is it, asking for the place name) with どこにありますか (where does it exist, asking for directions). Use です for asking 'name of place'; use にある for asking 'how do I get there'.	
n5-049		どれ / どの / どちら - 'which' (selection from options)	どれが あなたの ですか。	Which one is yours?	どれ 本	Before a noun, use どの (not どれ).	どれ/どの/どちら (which) — どちら is the POLITE version, common in restaurants ("どちらにしますか？" = "which will you have?"). どれ is neutral/casual. Both restrict to selection from a known set, unlike 何 (open question).
n5-050		どう / いかが - 'how / how about' (state, opinion, polite offer)	おしごとは どうですか。	How's work?	げんき いかが？	いかが is the polite/respectful form of どう, used with です. Plain casual speech uses どう, not いかが.	どう/いかが (how) — いかが is the POLITE form. Service workers default to "いかがですか？" / "いかがでしょうか？"; friends use "どう？". Mismatching makes you sound condescending or stiff. いかが is also a polite OFFER ("お茶はいかがですか？" = "would you like tea?").
n5-051		どうして / なぜ - 'why'	どうして 来ませんでしたか。	Why didn't you come?	どうして来ますか。	どうして / なぜ ask for reasons about events that have already happened (past) or about general facts (present), not about future intentions. For 'why are you coming?' use 何のために or rephrase. Beginners default どうして to all tenses.	
n5-052		どうやって - 'how / by what means'	どうやって 行きますか。	How (by what method) do you go?	どう 学校に 行きますか。 (asking method)	どう alone often asks "how is it?" (state/quality). For "by what means", use どうやって.	
n5-053		いくら - 'how much' (price)	これは いくらですか。	How much is this?	なんえん (when asking generally)	Both work, but いくら is the standard. なんえん specifically asks 'how many yen'.	
n5-054		いくつ - 'how many' (general counter / age)	りんごは いくつ ありますか。	How many apples are there?	何個ありますか。 = いくつありますか。	いくつ is the generic counter-question word; for objects with a known counter, native speakers prefer the specific 何+counter form. Using いくつ for books or cars sounds learner-Japanese.	
n5-055		なんじ - 'what time'	いま なんじですか。	What time is it now?	なにじ	Counters trigger なん, never なに. Same for なんにん, なんさい.	
n5-056		なんようび - 'what day of the week'	きょうは なんようびですか。	What day is today?	何日ですか。	何日 (なんにち) asks for the date (the 5th, the 12th); 何曜日 (なんようび) asks for the day of the week (Monday, Tuesday). These are different questions and the readings differ. Beginners often write 何日 when they mean 'what day of the week'.	
n5-057		なんがつ / なんにち - 'what month / what day'	たんじょうびは なんがつ なんにちですか。	What month and day is your birthday?	何月日ですか。	Month and day are asked separately: 何月 (なんがつ) and 何日 (なんにち), each with its own counter.	
n5-058		Polite non-past affirmative verb ending	わたしは ほんを よみます。	I read books.	たべるます。	Drop る from Group-2 verbs before adding ます (not stack them).	
n5-059		Polite non-past negative verb ending	わたしは にくを たべません。	I don't eat meat.	たべますじゃありません。	Verbs use ません, not じゃありません. じゃありません is for nouns and な-adjectives.	
n5-060		Polite past affirmative verb ending	きのう えいがを みました。	I watched a movie yesterday.	きのう たべますでした。	ました replaces ます - don't add でした to ます. でした is only for です.	〜ました (polite past) is the workhorse in business reports, email, customer interactions, and lesson narration. Even between close friends, formal events (graduations, business announcements) revert to 〜ました.
n5-061		Polite past negative verb ending	きのうは ばんごはんを たべませんでした。	I didn't eat dinner yesterday.	たべませんました。	The past-negative is ませんでした (with でした as a unit), not ませんました.	
n5-062		Let's / shall we (volitional / suggestion)	いっしょに たべましょう。	Let's eat together.	わたしも たべましょう。 (when speaking only of oneself)	ましょう invites the listener; if the action is only your own, use ます.	〜ましょう (let's) is mostly used for INVITING others ("行きましょう" = "let's go"). When suggesting your OWN action, casual speakers often use 〜よう/〜ようと思う instead. Volitional is also a polite refusal softener ("そうしましょう" = "let's do that, then").
n5-063		Verb-ましょうか - 'shall I / shall we (offer/suggestion)?'	てつだいましょうか。	Shall I help?	行こうか？ (formal context)	Plain volitional 行こうか is casual; in polite contexts use ～ましょうか for offers/proposals.	
n5-064		Won't you...? (polite invitation)	いっしょに ばんごはんを たべませんか。	Won't you have dinner with me?	たべますか。 (when inviting)	ますか asks a yes/no question ('do you eat?'); ませんか extends an invitation. Different intent.	
n5-065		Plain (dictionary) form - non-past affirmative, casual / written	ともだちに あう。	[I] meet a friend. (casual)	Mixing です with plain verbs in formal speech.	Plain form sounds blunt to strangers and superiors; ます-form sounds stiff to close friends. Match the situation.	
n5-066		Plain non-past negative	おさけを のまない。	[I] don't drink alcohol.	かうない	For -う ending verbs, the negative stem changes う → わ (not あ). Same for あう → あわない, いう → いわない.	
n5-067		Plain past affirmative (た-form)	きのう ほんを よんだ。	[I] read a book yesterday.	いく → いいた	いく is the standard exception: it takes -った, not -いた like other -く verbs. Memorize this one.	
n5-068		Plain past negative (-なかった)	きのう おさけを のまなかった。	[I] didn't drink alcohol yesterday.	のまないでした。	Don't add でした to plain ない. ない itself takes かった for past.	
n5-069		Verb-て (て-form) - connector / sequence / request base	あさごはんを たべて、がっこうへ 行きます。	[I] eat breakfast and go to school.	いく → いいて	いく / 行く is irregular - takes って not いて.	
n5-070		Verb-て、Verb-て、… - sequential / chained actions	あさ おきて、コーヒーを 飲んで、しごとに 行きます。	I get up in the morning, drink coffee, and go to work.	おきました、コーヒーを 飲みました、しごとに 行きました。	When chaining sequential actions in one sentence, use て-form for the non-final verbs. The final verb carries tense.	
n5-071		Verb-てください - please do (polite request / instruction)	ちょっと まってください。	Please wait a moment.	たべるください	Use the て-form, not the dictionary form, before ください.	Verb-てください (please do) sounds DIRECT — equivalent to "please do X" in English. In service contexts (clerk to customer), even softer forms (お+stem+ください / 〜ていただけませんか) are preferred. Use てください with peers/subordinates; soften upward.
n5-072		Verb-ています - progressive / current state / habitual	いま ごはんを たべています。	I'm eating right now.	けっこんしました (when meaning 'I am married')	けっこんする is a punctual change-of-state verb. ました = 'got married' (the event); ています = 'am married' (the resulting state).	〜ています has THREE distinct meanings: ongoing action ("読んでいます" = is reading), resulting state ("結婚しています" = is married), habitual ("毎日走っています" = run every day). Context disambiguates; learners often default to "ongoing" and miss the resulting-state reading.
n5-073		Verb-ていません - currently NOT doing / NOT in state	まだ あさごはんを たべていません。	I haven't eaten breakfast yet.	しっていません ("I don't know")	しる is the famous exception. Affirmative しっています but negative しりません (NOT しっていません).	
n5-074		Verb-てもいいです - may / it's OK to do (permission)	ここで しゃしんを とってもいいですか。	May I take a photo here?	たべるもいいです	Use て-form before も.	〜てもいいです (permission) is grammatically polite but can sound presumptuous if used to GRANT permission upward ("先生、トイレに行ってもいいです" sounds like you're permitting the teacher!). Use 〜てもいいですか (asking) when seeking permission from someone of higher status.
n5-075		Verb-てはいけません - must not / it's forbidden	ここで たばこを すってはいけません。	You must not smoke here.	たべるはいけません	Use て-form, not dictionary form.	〜てはいけません (must not / forbidden) carries STRONG prohibitive force — used on official signs (写真をとってはいけません), in parent-to-child / teacher-to-student instruction. Adult peers use softer forms (〜ないでください). Reading: tobacco/photo/parking prohibitions on Japanese signs follow this pattern.
n5-076		Verb-てから - 'after doing X'	あさごはんを たべてから 行きます。	I'll go after eating breakfast.	あさごはんから	てから needs a verb て-form before it, not a noun.	
n5-077		Verb-ないでください - please don't do	ここで しゃしんを とらないでください。	Please don't take photos here.	たべませんでください	Use the plain ない-form, not the polite ません-form.	〜ないでください (please don't) is softer than 〜てはいけません. Common on customer-facing signs ("写真をとらないでください") and in polite refusals ("心配しないでください" = please don't worry). The negative request is more face-saving than the affirmative てください.
n5-078		い-Adjective + Noun - adjective directly before noun	高い 山が 見えます。	I can see a tall mountain.	高いの 山	Don't insert の between い-adj and noun. の is for noun-noun linking only.	
n5-079		い-Adjective + です - polite present affirmative	この ほんは おもしろいです。	This book is interesting.	あついだ。	Don't put だ after い-adjectives. Use です for polite or just the bare adjective for plain.	
n5-080		い-Adjective negative - present polite	この ほんは おもしろくないです。	This book isn't interesting.	たかいくないです。	Drop the final い before adding くない. Don't keep both.	
n5-081		い-Adjective past - was [adjective]	きのうは あつかったです。	Yesterday was hot.	たかいでした。	い-adjectives DON'T use でした. The past is built by changing い → かった.	
n5-082		い-Adjective past negative	きのうは さむくなかったです。	Yesterday wasn't cold.	あついじゃありませんでした	い-adj never use じゃありません or でした. Build past-negative from the adjective itself.	
n5-083		い-Adjective て-form (-くて) - connector	この りょうりは あつくて、おいしいです。	This food is hot and delicious.	あついて	Drop い, add くて. Don't keep the い.	
n5-084		な-Adjective + な + Noun	しずかな へやが すきです。	I like quiet rooms.	しずか へや	な-adj needs な before nouns. (Drop な before です: しずかです.)	
n5-085		な-Adjective + です - polite present affirmative	この へやは しずかです。	This room is quiet.	きれいい	きれい LOOKS like an い-adjective (ends in い) but is actually a な-adjective. So きれいな はな (with な) and きれいです (no い-conjugation).	
n5-086		な-Adjective negative - polite present	この へやは しずかじゃありません。	This room isn't quiet.	しずかくないです。	な-adjectives DON'T use くない (that's い-adj). Use じゃありません, same as nouns.	
n5-087		な-Adjective past - was [adjective] (uses でした)	きのうの コンサートは にぎやかでした。	Yesterday's concert was lively.	しずかかった	かった is for い-adj. な-adj use でした (like nouns).	
n5-088		な-Adjective past negative	きのうの しけんは かんたんじゃありませんでした。	Yesterday's exam wasn't easy.	しずかくなかった	くなかった is for い-adj only.	
n5-089		な-Adjective て-form (~で) - connector	この まちは しずかで、きれいです。	This town is quiet and clean.	しずかくて	くて is for い-adj. な-adj uses just で.	
n5-090		あります - there is / exists (inanimate things)	つくえの 上に ほんが あります。	There is a book on the desk.	へやに ねこが あります。	あります is for inanimate things only. Animals and people use います.	あります (inanimate existence) vs います (animate existence) is a classic learner trap. Plants are inanimate (あります). Pets, fish, insects use います. Vehicles and ghosts vary by context. The 100% rule: if it moves on its own volition → います; otherwise あります.
n5-091		います - there is / exists (animate things - people, animals)	へやに ねこが います。	There is a cat in the room.	ねこが あります	Cats are animate - use います.	
n5-092		～に～が あります／います - 'there is X at Y' (location-first existence)	つくえの 上に 本が あります。	There is a book on the desk.	つくえの 上で 本が あります。	Location of EXISTENCE takes に, not で. で is for actions.	
n5-093		～は～にあります／います - 'X is at Y' (already-known X)	本は つくえの 上に あります。	The book is on the desk.	本は つくえに います。	いる is for animate (people, animals); ある is for inanimate (objects). 本 is inanimate → あります.	
n5-094		～が あります - 'have / there is' (events, skills, possessions)	あした しけんが あります。	There's an exam tomorrow.	テストは あした います。	For events/scheduled things (test, meeting, party), use ～が あります. The subject is the event, not its time.	
n5-095		AはBより [adj] です - 'A is more [adj] than B'	とうきょうは おおさかより 大きいです。	Tokyo is bigger than Osaka.	とうきょうは より おおさか 大きいです。	より attaches to the REFERENCE, not before it.	
n5-096		～より～のほうが [adj] です - '~ is more [adj] than ~' (focuses on the bigger one)	おおさかより とうきょうのほうが 大きいです。	Tokyo is bigger than Osaka.	なつは ふゆより 大きい。	Comparison adjective should fit the dimension being compared. (Also, dictionary form alone is too informal; use です.)	
n5-097		AとBと、どちらが ～ですか - 'which is more ~, A or B?' (2-way question)	いぬと ねこと、どちらが すきですか。	Which do you like more, dogs or cats?	AかBか、どちらが すきですか。	For "which of A or B?", use と...と to list, then どちら. か...か is grammatical but と...と is the standard frame for comparison questions.	
n5-098		Expressing likes / dislikes contrast (using すき / きらい).	わたしは ねこが すきです。	I like cats.	私はりんごを好きです。	好き / 嫌い take が, not を, even though they translate as 'like / dislike' (transitive verbs in English). 好き is a な-adjective in Japanese, not a verb; the object of preference is marked with が.	
n5-099		～が すきです / きらいです - like / dislike	わたしは ねこが すきです。	I like cats.	ねこを すきです。	Stative predicates (すき, きらい, わかる, できる) take が, never を.	
n5-100		～が じょうずです / へたです - good at / bad at	あの 人は 日本語が じょうずです。	That person is good at Japanese.	わたしは 日本語が じょうずです。	Saying じょうず about yourself sounds boastful. Reserve じょうず for others; for yourself, use とくい or まだまだです.	
n5-101		～が ほしいです - want (an object)	新しい くるまが ほしいです。	I want a new car.	Talking about a third person's desire with ほしい.	ほしい expresses the speaker's own (or asks the listener's) desire. For others, use ほしがっている.	〜が ほしい (want object) is restricted to FIRST-person speaker desire ("私は車がほしいです"). Saying "彼は車がほしい" sounds wrong — for third-person, use 〜たがる/〜と言っている. This is a key learner error point.
n5-102		～が わかります - understand / know	日本語が すこし わかります。	I understand a little Japanese.	日本語を わかります。	わかる takes が, never を.	
n5-103		～が できます - can do / be able to / have ability in	日本語が できます。	I can use Japanese. / I'm able to do (in) Japanese.	日本語を できます。	できる takes が, not を.	
n5-104		Verb-stem + たいです - want to do	にほんへ 行きたいです。	I want to go to Japan.	わたしは あの 人は 行きたいです。	たい expresses the SPEAKER'S desire only - don't use it for third parties. For others, use ～たがっている.	〜たい (want to do) has the same first-person restriction as ほしい — "彼は行きたい" sounds wrong; use 〜たがる. Also, たい conjugates as an i-adjective: たいです / たくない / たかった. Many learners over-conjugate it as a verb.
n5-105		Verb-stem + たくないです - don't want to	今日は 行きたくないです。	I don't want to go today.	行きたくありません。 (correct but rigid)	Both are correct; ～たくないです is more natural in conversation. ～たくありません is hyper-formal.	
n5-106		Noun + が ほしいです (same as n5-101 but with explicit noun emphasis)	新しい かばんが ほしいです。	I want a new bag.	わたしは 新しい かばんを ほしいです。	ほしい takes が, not を. The desired thing is the が-marked target.	
n5-107		Verb-stem + に 行きます／来ます／かえります - go/come/return TO DO X	デパートへ 買いものに 行きます。	I'm going to the department store to shop.	買うに 行きます	Use the い-stem (買う → 買い), not the dictionary form, before に + movement verb.	
n5-108		Number + counter - counting things in Japanese (人, まい, 本, はい, さつ, つ, etc.)	りんごを ふたつ ください。	Please give me 2 apples.	りんごを に たべました。	Need a counter - bare numbers can't quantify nouns.	
n5-109		How many / how much (counter questions)	りんごは いくつ ありますか。	How many apples are there?	りんごは いくらですか。 (asking quantity)	いくら asks price; いくつ asks count of objects (no fixed counter).	
n5-110		Object + counter + Verb - quantity comes BEFORE the verb	りんごを ふたつ かいました。	I bought 2 apples.	ふたつの りんごを かいました。	More natural to put quantity AFTER the noun, with no の. The 'の-form' is unusual at N5.	
n5-111		～じ - o'clock (counter)	いま 3時です。	It's 3 o'clock now.	4時 = しじ	4時 is read よじ, not しじ. Same as 7時 = しちじ (not なな).	
n5-112		～ふん / ～ぷん - minute(s) (counter)	10ぷん まちました。	I waited 10 minutes.	五ふんです。	ふん vs ぷん is determined by the preceding number. 1, 3, 4, 6, 8, 10 -> ぷん (gemination); 2, 5, 7, 9 -> ふん. Beginners memorise one form and apply it everywhere. Practice: 1ぷん, 2ふん, 3ぷん, 4ぷん, 5ふん...	
n5-113		～じはん - half past (~30 minutes)	いま 3時はんです。	It's 3:30 now.	三時 三十分 (in casual speech)	In casual speech, 三十分 (sanjuppun) is replaced by はん (han). 三時はん = "3:30" / "half past 3".	
n5-114		From X to Y (paired range - already covered)	9時から 5時まで しごとです。	Work is from 9 to 5.	九時まで 五時から しごとです。	Order is start-end: から first, then まで. Reversed order is ungrammatical.	
n5-115		Particle に marking specific clock-times (〜時に, 〜時はんに, 何時に, etc.)	7時に おきます。	I get up at 7 o'clock.	学校で 行きます。	For destination of motion verbs (行く, 来る, かえる), use に (or へ), not で. で marks the location of action.	
n5-116		まいにち / まいしゅう / まいつき / まいとし - every day / week / month / year	まいにち 日本語を べんきょうします。	I study Japanese every day.	まいにちに	まい-time words don't take に - they're already adverbs.	
n5-117		Time-of-day vocabulary: きょう / あした / きのう / あさって / おととい	きょうは あついです。	It's hot today.	きょうに	Relative time words take no particle.	
n5-118		いま / すぐ / もう / まだ - temporal adverbs	いま 行きます。	I'm going now.	まだ 食べました。	もう = "already" (with affirmative past); まだ = "still / not yet" (often with negative). Don't mix.	
n5-119		～まえ - before	ごはんの まえに てを あらいます。	I wash my hands before meals.	ねたまえに	Use plain non-past before まえに - even for past actions.	
n5-120		～あと - after	しごとの あとで のみに 行きました。	I went for drinks after work.	たべる あとで	Use PAST plain (た-form) before あとで, opposite of まえに.	
n5-121		そして - 'and / and then' (clause connector)	あさごはんを たべました。そして、しごとに 行きました。	I ate breakfast. And then, I went to work.	雨が降りました。そして寒いです。	そして is a written/formal clause-connector. In conversation Japanese natives often use それで (so / therefore) or just a て-form sentence chain. Overuse of そして in spoken JP marks textbook learner-speech.	
n5-122		それから - 'and then / after that'	シャワーを あびました。それから、ねました。	I showered. After that, I went to bed.	シャワーを あびました。それから ねます。	それから connects sequential past events; both clauses should match in tense.	
n5-123		でも - 'but / however' (sentence-initial)	コーヒーが すきです。でも、おちゃは すきじゃありません。	I like coffee. But I don't like tea.	わたしは 学生です。でも 田中さんも 学生です。	でも introduces contrast/exception; for "moreover/additionally" use それに.	
n5-124		しかし - 'however' (formal contrast)	テストは むずかしかったです。しかし、できました。	The test was hard. However, I did it.	むずかしかったです。しかし、できました。 (in casual speech)	しかし is formal/written; in casual conversation, でも is more natural.	
n5-125		では / じゃ - 'well then / in that case' (transition)	じゃ、また あした。	Well, see you tomorrow.	じゃ、はじめましょう。 (in formal meeting)	じゃ is the colloquial contraction of では; in formal contexts (meetings, speeches), prefer では.	
n5-126		が (clause connector) - 'but / however' (mid-sentence)	コーヒーは すきですが、おちゃは すきじゃありません。	I like coffee, but I don't like tea.	ですから but じゃありません	Use が (not から) for contrast. から means 'because'.	
n5-127		けれど / けど - 'but' (informal contrast)	むずかしいですけど、おもしろいです。	It's hard, but interesting.	行きましたけど、楽しいでした。	けど/けれど doesn't fix the conjugation of the second clause - past-tense i-adjectives still take the い→かった ending (楽しかった), not 楽しいでした. Beginners use けど as a 'reset' and forget conjugation rules.	
