form	reading	gloss_en	gloss_hi	pos	section	example_ja	example_en	audio_path	vocab_id
女の子	おんなのこ	girl	लड़की	noun	2. People - Family	女の子が うたを うたって います。	A girl is singing a song.		n5.vocab.2-people-family.女の子
男	おとこ	man	पुरुष	noun	2. People - Family	あの 男の 人は 先生です。	That man is a teacher.		n5.vocab.2-people-family.男
女	おんな	woman	महिला	noun	2. People - Family	あの 女の 人は いしゃです。	That woman is a doctor.		n5.vocab.2-people-family.女
大人	おとな	adult	वयस्क	noun	2. People - Family	大人は 千円、子どもは 五百円です。	Adults are 1000 yen, children are 500 yen.		n5.vocab.2-people-family.大人
ともだち	ともだち	friend	दोस्त	noun	2. People - Family	ともだちと えいがに 行きました。	I went to a movie with a friend.		n5.vocab.2-people-family.ともだち
学生	がくせい	student	विद्यार्थी	noun	3. People - Roles	わたしは 大学の 学生です。	I am a university student.		n5.vocab.3-people-roles.学生
せいと	せいと	pupil, schoolchild	छात्र (स्कूल)	noun	3. People - Roles	この 学校の せいとは 百人です。	This school has 100 pupils.		n5.vocab.3-people-roles.せいと
先生	せんせい	teacher, doctor	शिक्षक / डॉक्टर	noun	3. People - Roles	先生に しつもんしました。	I asked the teacher a question.		n5.vocab.3-people-roles.先生
いしゃ	いしゃ	doctor	डॉक्टर	noun	3. People - Roles	ちちは いしゃです。	My father is a doctor.		n5.vocab.3-people-roles.いしゃ
会社員	かいしゃいん	company employee	कंपनी कर्मचारी	noun	3. People - Roles	あには 会社員です。	My older brother is a company employee.		n5.vocab.3-people-roles.会社員
駅員	えきいん	station staff	स्टेशन कर्मी	noun	3. People - Roles	駅員に みちを 聞きました。	I asked the station staff for directions.		n5.vocab.3-people-roles.駅員
店員	てんいん	shop clerk	दुकान सहायक	noun	3. People - Roles	店員さんに ねだんを 聞きました。	I asked the shop clerk the price.		n5.vocab.3-people-roles.店員
けいかん	けいかん	police officer	पुलिस अधिकारी	noun	3. People - Roles	けいかんに みちを 聞きました。	I asked the police officer for directions.		n5.vocab.3-people-roles.けいかん
おまわりさん	おまわりさん	police officer (friendly)	पुलिस (मित्रवत)	noun	3. People - Roles	おまわりさんに あいさつします。	I greet the police officer.		n5.vocab.3-people-roles.おまわりさん
りゅうがくせい	りゅうがくせい	international student	विदेशी छात्र	noun	3. People - Roles	わたしは りゅうがくせいです。	I am an international student.		n5.vocab.3-people-roles.りゅうがくせい
外国人	がいこくじん	foreigner	विदेशी व्यक्ति	noun	3. People - Roles	日本に 外国人が たくさん います。	There are many foreigners in Japan.		n5.vocab.3-people-roles.外国人
からだ	からだ	body	शरीर	noun	4. Body Parts	からだが つかれました。	My body is tired.		n5.vocab.4-body-parts.からだ
あたま	あたま	head	सिर	noun	4. Body Parts	あたまが いたいです。	My head hurts.		n5.vocab.4-body-parts.あたま
かお	かお	face	चेहरा	noun	4. Body Parts	朝、かおを あらいます。	I wash my face in the morning.		n5.vocab.4-body-parts.かお
め	め	eye	आँख	noun	4. Body Parts	めが いたいです。	My eyes hurt.		n5.vocab.4-body-parts.め
みみ	みみ	ear	कान	noun	4. Body Parts	みみで おんがくを 聞きます。	I listen to music with my ears.		n5.vocab.4-body-parts.みみ
はな	はな	nose	नाक	noun	4. Body Parts	はなが たかいです。	I have a high nose.		n5.vocab.4-body-parts.はな
くち	くち	mouth	मुँह	noun	4. Body Parts	くちを あけて ください。	Please open your mouth.		n5.vocab.4-body-parts.くち
は	は	tooth	दाँत	noun	4. Body Parts	まいにち はを みがきます。	I brush my teeth every day.		n5.vocab.4-body-parts.は
て	て	hand	हाथ	noun	4. Body Parts	ごはんの まえに てを あらいます。	I wash my hands before meals.		n5.vocab.4-body-parts.て
あし	あし	leg, foot	पैर	noun	4. Body Parts	あしが いたいです。	My feet hurt.		n5.vocab.4-body-parts.あし
おなか	おなか	stomach, belly	पेट	noun	4. Body Parts	おなかが すきました。	I'm hungry. (lit. stomach is empty)		n5.vocab.4-body-parts.おなか
せ	せ	back, height	पीठ / कद	noun	4. Body Parts	あには せが 高いです。	My older brother is tall.		n5.vocab.4-body-parts.せ
これ	これ	this (thing near speaker)	यह	demonstrative	5. Demonstratives	これは 何ですか。	What is this?		n5.vocab.5-demonstratives.これ
それ	それ	that (thing near listener)	वह (श्रोता के पास)	demonstrative	5. Demonstratives	それを ください。	Please give me that.		n5.vocab.5-demonstratives.それ
あれ	あれ	that (over there)	वह (दूर)	demonstrative	5. Demonstratives	あれは 学校です。	That is the school.		n5.vocab.5-demonstratives.あれ
どれ	どれ	which (one)	कौन-सा	demonstrative	5. Demonstratives	どれが いいですか。	Which one is good?		n5.vocab.5-demonstratives.どれ
この	この	this (modifier)	यह (विशेषण)	demonstrative	5. Demonstratives	この 本は おもしろいです。	This book is interesting.		n5.vocab.5-demonstratives.この
その	その	that (modifier)	वह (विशेषण)	demonstrative	5. Demonstratives	その かばんは わたしのです。	That bag is mine.		n5.vocab.5-demonstratives.その
あの	あの	that over there (modifier)	वह दूर (विशेषण)	demonstrative	5. Demonstratives	あの 人は 田中さんです。	That person is Tanaka.		n5.vocab.5-demonstratives.あの
どの	どの	which (modifier)	कौन-सा (विशेषण)	demonstrative	5. Demonstratives	どの 本が すきですか。	Which book do you like?		n5.vocab.5-demonstratives.どの
ここ	ここ	here	यहाँ	demonstrative	5. Demonstratives	ここで まちます。	I'll wait here.		n5.vocab.5-demonstratives.ここ
そこ	そこ	there	वहाँ (श्रोता के पास)	demonstrative	5. Demonstratives	そこに 本が あります。	There's a book there.		n5.vocab.5-demonstratives.そこ
あそこ	あそこ	over there	वहाँ (दूर)	demonstrative	5. Demonstratives	あそこに えきが あります。	The station is over there.		n5.vocab.5-demonstratives.あそこ
どこ	どこ	where	कहाँ	demonstrative	5. Demonstratives	えきは どこですか。	Where is the station?		n5.vocab.5-demonstratives.どこ
こちら	こちら	this way / this person (polite)	यह दिशा / यह व्यक्ति (आदर)	demonstrative	5. Demonstratives	こちらは 田中さんです。	This is Tanaka. (introducing)		n5.vocab.5-demonstratives.こちら
そちら	そちら	that way	वह दिशा	demonstrative	5. Demonstratives	そちらは どうですか。	How about your side?		n5.vocab.5-demonstratives.そちら
あちら	あちら	that way (over there)	उस तरफ़	demonstrative	5. Demonstratives	あちらが 田中さんです。	That person over there is Tanaka-san.		n5.vocab.5-demonstratives.あちら
どちら	どちら	which way	कौन सी दिशा	demonstrative	5. Demonstratives	どちらが すきですか。	Which (of the two) do you like?		n5.vocab.5-demonstratives.どちら
こっち	こっち	this way (casual)	यह तरफ़ (अनौ.)	demonstrative	5. Demonstratives	こっちに 来て ください。	Come this way please.		n5.vocab.5-demonstratives.こっち
そっち	そっち	that way (casual)	वह तरफ़ (अनौ.)	demonstrative	5. Demonstratives	そっちは あぶないですよ。	That way is dangerous.		n5.vocab.5-demonstratives.そっち
あっち	あっち	that way over there (casual)	उस तरफ़ (अनौ.)	demonstrative	5. Demonstratives	あっちに えきが あります。	The station is over that way.		n5.vocab.5-demonstratives.あっち
どっち	どっち	which way (casual)	कौन सी तरफ़ (अनौ.)	demonstrative	5. Demonstratives	どっちが いいですか。	Which one is better?		n5.vocab.5-demonstratives.どっち
こんな	こんな	this kind of	इस प्रकार का	demonstrative	5. Demonstratives	こんな 本を よみたいです。	I want to read this kind of book.		n5.vocab.5-demonstratives.こんな
そんな	そんな	that kind of	उस प्रकार का	demonstrative	5. Demonstratives	そんな ことは 言わないで ください。	Please don't say such things.		n5.vocab.5-demonstratives.そんな
あんな	あんな	that kind of (over there)	उस प्रकार का (दूर)	demonstrative	5. Demonstratives	あんな 大きい 家に すみたいです。	I want to live in a house like that.		n5.vocab.5-demonstratives.あんな
どんな	どんな	what kind of	किस प्रकार का	demonstrative	5. Demonstratives	どんな りょうりが すきですか。	What kind of food do you like?		n5.vocab.5-demonstratives.どんな
こう	こう	like this	इस तरह	demonstrative	5. Demonstratives	こう 書いて ください。	Please write it like this.		n5.vocab.5-demonstratives.こう
そう	そう	like that	उस तरह	demonstrative	5. Demonstratives	そうですね。	That's right / That's so.		n5.vocab.5-demonstratives.そう
ああ	ああ	like that (over there)	उस तरह (दूर)	demonstrative	5. Demonstratives	ああ、そうですか。	Oh, I see.		n5.vocab.5-demonstratives.ああ
どう	どう	how	कैसे	demonstrative	5. Demonstratives	日本語は どうですか。	How is Japanese (going)?		n5.vocab.5-demonstratives.どう
何	なに / なん	what	क्या	question-word	6. Question Words	これは 何ですか。	What is this?		n5.vocab.6-question-words.何
いつ	いつ	when	कब	question-word	6. Question Words	たんじょうびは いつですか。	When is your birthday?		n5.vocab.6-question-words.いつ
いくら	いくら	how much (price)	कितना	question-word	6. Question Words	これは いくらですか。	How much is this?		n5.vocab.6-question-words.いくら
いくつ	いくつ	how many, how old	कितने	question-word	6. Question Words	りんごは いくつ ありますか。	How many apples are there?		n5.vocab.6-question-words.いくつ
何時	なんじ	what time	कितने बजे	question-word	6. Question Words	今 何時ですか。	What time is it now?		n5.vocab.6-question-words.何時
何曜日	なんようび	what day of the week	कौन सा दिन	question-word	6. Question Words	きょうは 何曜日ですか。	What day of the week is it today?		n5.vocab.6-question-words.何曜日
何月	なんがつ	what month	कौन सा महीना	question-word	6. Question Words	たんじょうびは 何月ですか。	What month is your birthday?		n5.vocab.6-question-words.何月
何日	なんにち	what day	कौन सी तारीख़	question-word	6. Question Words	きょうは 何日ですか。	What day of the month is it today?		n5.vocab.6-question-words.何日
なぜ	なぜ	why	क्यों	question-word	6. Question Words	なぜ 来ませんでしたか。	Why did you not come?		n5.vocab.6-question-words.なぜ
どうして	どうして	why	क्यों	question-word	6. Question Words	どうして おそく なりましたか。	Why are you late?		n5.vocab.6-question-words.どうして
何で	なんで	why, by what means	क्यों / किस से	question-word	6. Question Words	何で 学校に 行きますか。	How do you go to school?		n5.vocab.6-question-words.何で
一	いち	one	एक	numeral	7. Numbers	りんごを 一つ ください。	One apple please.		n5.vocab.7-numbers.一
二	に	two	दो	numeral	7. Numbers	二人で 行きます。	We are going together (two people).		n5.vocab.7-numbers.二
三	さん	three	तीन	numeral	7. Numbers	三月は はるです。	March is spring.		n5.vocab.7-numbers.三
四	し / よん	four	चार	numeral	7. Numbers	四時に あいましょう。	Let's meet at four o'clock.		n5.vocab.7-numbers.四
五	ご	five	पाँच	numeral	7. Numbers	五分 まってください。	Please wait five minutes.		n5.vocab.7-numbers.五
六	ろく	six	छह	numeral	7. Numbers	六時に おきます。	I get up at six.		n5.vocab.7-numbers.六
七	しち / なな	seven	सात	numeral	7. Numbers	七時に ばんごはんを 食べます。	I eat dinner at seven.		n5.vocab.7-numbers.七
八	はち	eight	आठ	numeral	7. Numbers	八月は あついです。	August is hot.		n5.vocab.7-numbers.八
九	きゅう / く	nine	नौ	numeral	7. Numbers	九時に 学校が はじまります。	School starts at nine.		n5.vocab.7-numbers.九
十	じゅう	ten	दस	numeral	7. Numbers	十分 かかります。	It takes ten minutes.		n5.vocab.7-numbers.十
十一	じゅういち	eleven	ग्यारह	numeral	7. Numbers	十一月は さむいです。	November is cold.		n5.vocab.7-numbers.十一
二十	にじゅう	twenty	बीस	numeral	7. Numbers	わたしは 二十さいです。	I am twenty years old.		n5.vocab.7-numbers.二十
百	ひゃく	hundred	सौ	numeral	7. Numbers	百円 ください。	One hundred yen please.		n5.vocab.7-numbers.百
千	せん	thousand	हज़ार	numeral	7. Numbers	これは 千円です。	This is 1000 yen.		n5.vocab.7-numbers.千
万	まん	ten thousand	दस हज़ार	numeral	7. Numbers	一万円 はらいました。	I paid 10,000 yen.		n5.vocab.7-numbers.万
一万	いちまん	ten thousand	दस हज़ार	numeral	7. Numbers	くつは 一万円でした。	The shoes were 10,000 yen.		n5.vocab.7-numbers.一万
おく	おく	hundred million	दस करोड़	numeral	7. Numbers	日本の 人口は 一おく人ぐらいです。	Japan's population is about 100 million.		n5.vocab.7-numbers.おく
一つ	ひとつ	one (thing)	एक (वस्तु)	counter	8. Native Counters (つ-series)	みかんを 一つ かいました。	I bought one mandarin orange.		n5.vocab.8-native-counters-series.一つ
二つ	ふたつ	two	दो (वस्तुएँ)	counter	8. Native Counters (つ-series)	かばんを 二つ もって います。	I have two bags.		n5.vocab.8-native-counters-series.二つ
三つ	みっつ	three	तीन	counter	8. Native Counters (つ-series)	いすが 三つ あります。	There are three chairs.		n5.vocab.8-native-counters-series.三つ
四つ	よっつ	four	चार	counter	8. Native Counters (つ-series)	たまごを 四つ ください。	Four eggs please.		n5.vocab.8-native-counters-series.四つ
五つ	いつつ	five	पाँच	counter	8. Native Counters (つ-series)	りんごを 五つ かいました。	I bought five apples.		n5.vocab.8-native-counters-series.五つ
六つ	むっつ	six	छह	counter	8. Native Counters (つ-series)	ケーキを 六つ つくりました。	I made six cakes.		n5.vocab.8-native-counters-series.六つ
七つ	ななつ	seven	सात	counter	8. Native Counters (つ-series)	七つの くにを たびしました。	I traveled to seven countries.		n5.vocab.8-native-counters-series.七つ
八つ	やっつ	eight	आठ	counter	8. Native Counters (つ-series)	八つの りんごが テーブルに あります。	There are eight apples on the table.		n5.vocab.8-native-counters-series.八つ
九つ	ここのつ	nine	नौ	counter	8. Native Counters (つ-series)	九つの しつもんが あります。	I have nine questions.		n5.vocab.8-native-counters-series.九つ
十	とお	ten	दस	counter	8. Native Counters (つ-series)	十の おかしを ください。	Ten sweets please.		n5.vocab.8-native-counters-series.十
いくつ	いくつ	how many	कितने	counter	8. Native Counters (つ-series)	みかんは いくつ ありますか。	How many oranges are there?		n5.vocab.8-native-counters-series.いくつ
人	にん	counter for people	व्यक्ति-गणक	counter	9. Counters (Common)	クラスに 三十人 います。	There are thirty people in the class.		n5.vocab.9-counters-common.人
一人	ひとり	one person	एक व्यक्ति	counter	9. Counters (Common)	一人で 行きます。	I will go alone.		n5.vocab.9-counters-common.一人
二人	ふたり	two people	दो व्यक्ति	counter	9. Counters (Common)	二人で カフェに 行きました。	The two of us went to a cafe.		n5.vocab.9-counters-common.二人
まい	まい	counter for flat objects	पतली वस्तु-गणक	counter	9. Counters (Common)	かみを 三まい ください。	Three sheets of paper please.		n5.vocab.9-counters-common.まい
本	ほん	counter for long thin objects	किताब	counter	9. Counters (Common)	えんぴつを 三本 ください。	Three pencils please.		n5.vocab.9-counters-common.本
だい	だい	counter for machines / vehicles	मशीन-गणक	counter	9. Counters (Common)	くるまが 二だい あります。	There are two cars.		n5.vocab.9-counters-common.だい
さつ	さつ	counter for books	पुस्तक-गणक	counter	9. Counters (Common)	本を 三さつ 買いました。	I bought three books.		n5.vocab.9-counters-common.さつ
ひき	ひき	counter for small animals	छोटे जानवर-गणक	counter	9. Counters (Common)	ねこが 二ひき います。	There are two cats.		n5.vocab.9-counters-common.ひき
はい	はい	counter for cups / glasses	हाँ	counter	9. Counters (Common)	コーヒーを 一ぱい 飲みました。	I drank one cup of coffee.		n5.vocab.9-counters-common.はい
こ	こ	counter for small objects	छोटी वस्तु-गणक	counter	9. Counters (Common)	りんごを 五こ 買いました。	I bought five apples.		n5.vocab.9-counters-common.こ
かい	かい	floor of a building (e.g., 3-かい = 3rd floor)	मंज़िल-गणक	counter	9. Counters (Common)	じむしょは 三かいです。	The office is on the 3rd floor.		n5.vocab.9-counters-common.かい
かい	かい	number of times / occurrences (e.g., 3-かい = three times). Same kana, different counter (different kanji); context disambiguates.	बार-गणक	counter	9. Counters (Common)	日本に 二かい 行きました。	I've been to Japan twice.		n5.vocab.9-counters-common.かい.2
番	ばん	number, ordinal	क्रम-संख्या	counter	9. Counters (Common)	五番の バスに のります。	I'll take the number 5 bus.		n5.vocab.9-counters-common.番
ど	ど	degrees, occurrences	डिग्री / बार	counter	9. Counters (Common)	もう 一ど 言って ください。	Please say it once more.		n5.vocab.9-counters-common.ど
とき	とき	time, when	समय / जब	noun	10. Time - General	小さい とき、よく あそびました。	When I was little, I used to play a lot.		n5.vocab.10-time-general.とき
時間	じかん	time, hour	समय	noun	10. Time - General	時間が ありません。	I don't have time.		n5.vocab.10-time-general.時間
とけい	とけい	clock, watch	घड़ी	noun	10. Time - General	とけいを 見ます。	I look at the clock.		n5.vocab.10-time-general.とけい
今	いま	now	अभी	noun	10. Time - General	今、何時ですか。	What time is it now?		n5.vocab.10-time-general.今
今日	きょう	today	आज	noun	10. Time - General	今日は 月曜日です。	Today is Monday.		n5.vocab.10-time-general.今日
あした	あした	tomorrow	कल (आगामी)	noun	10. Time - General	あした 学校に 行きます。	I will go to school tomorrow.		n5.vocab.10-time-general.あした
きのう	きのう	yesterday	कल (बीता)	noun	10. Time - General	きのう 友だちに あいました。	I met a friend yesterday.		n5.vocab.10-time-general.きのう
あさって	あさって	day after tomorrow	परसों (आगामी)	noun	10. Time - General	あさっては 土よう日です。	The day after tomorrow is Saturday.		n5.vocab.10-time-general.あさって
おととい	おととい	day before yesterday	परसों (बीता)	noun	10. Time - General	おととい 友だちに 会いました。	I met a friend the day before yesterday.		n5.vocab.10-time-general.おととい
あさ	あさ	morning	सुबह	noun	10. Time - General	あさ コーヒーを 飲みます。	I drink coffee in the morning.		n5.vocab.10-time-general.あさ
ひる	ひる	noon, daytime	दोपहर	noun	10. Time - General	ひるごはんを 食べました。	I ate lunch.		n5.vocab.10-time-general.ひる
ゆうがた	ゆうがた	evening	शाम	noun	10. Time - General	ゆうがた さんぽを します。	I take a walk in the evening.		n5.vocab.10-time-general.ゆうがた
よる	よる	night	रात	noun	10. Time - General	よるは 本を 読みます。	At night I read books.		n5.vocab.10-time-general.よる
ばん	ばん	evening, night	शाम / रात	noun	10. Time - General	ばんごはんは 七時です。	Dinner is at seven.		n5.vocab.10-time-general.ばん
けさ	けさ	this morning	आज सुबह	noun	10. Time - General	けさ パンを 食べました。	This morning I ate bread.		n5.vocab.10-time-general.けさ
こんばん	こんばん	this evening	आज शाम	noun	10. Time - General	こんばん えいがを 見ます。	This evening I will watch a movie.		n5.vocab.10-time-general.こんばん
こんや	こんや	tonight	आज रात	noun	10. Time - General	こんや 家に います。	I'll be home tonight.		n5.vocab.10-time-general.こんや
午前	ごぜん	A.M.	पूर्वाह्न (A.M.)	noun	10. Time - General	午前 九時に はじまります。	It starts at 9 a.m.		n5.vocab.10-time-general.午前
午後	ごご	P.M.	अपराह्न (P.M.)	noun	10. Time - General	午後 三時に 会いましょう。	Let's meet at 3 p.m.		n5.vocab.10-time-general.午後
半	はん	half (past)	आधा	noun	10. Time - General	今 三時半です。	It's 3:30 now.		n5.vocab.10-time-general.半
分	ふん / ぷん	minute(s)	मिनट	noun	10. Time - General	十分 まって ください。	Please wait ten minutes.		n5.vocab.10-time-general.分
びょう	びょう	second(s)	सेकंड	noun	10. Time - General	十びょう まって ください。	Please wait ten seconds.		n5.vocab.10-time-general.びょう
日	ひ	day	दिन	noun	11. Time - Days, Weeks, Months, Years	日が みじかく なりました。	The days have become shorter.		n5.vocab.11-time-days-weeks-month.日
一日	ついたち	1st of the month	महीने की पहली तारीख़	noun	11. Time - Days, Weeks, Months, Years	一日に 田中さんに 会います。	I'll see Tanaka-san on the 1st.		n5.vocab.11-time-days-weeks-month.一日
一日	いちにち	one day, a whole day (note: same kanji 一日 with a different reading, distinct from ついたち; context disambiguates)	पूरा दिन	noun	11. Time - Days, Weeks, Months, Years	一日 ゆっくり 休みました。	I rested for a whole day.		n5.vocab.11-time-days-weeks-month.一日.2
二日	ふつか	2nd / two days	दूसरी तारीख़ / दो दिन	noun	11. Time - Days, Weeks, Months, Years	二日 休みを とります。	I'll take two days off.		n5.vocab.11-time-days-weeks-month.二日
三日	みっか	3rd / three days	तीसरी तारीख़ / तीन दिन	noun	11. Time - Days, Weeks, Months, Years	三日 まえに 来ました。	I came three days ago.		n5.vocab.11-time-days-weeks-month.三日
四日	よっか	4th / four days	चौथी / चार दिन	noun	11. Time - Days, Weeks, Months, Years	四日 まちました。	I waited four days.		n5.vocab.11-time-days-weeks-month.四日
五日	いつか	5th / five days	पाँचवीं / पाँच दिन	noun	11. Time - Days, Weeks, Months, Years	五日に 出かけます。	I'll go out on the 5th.		n5.vocab.11-time-days-weeks-month.五日
六日	むいか	6th / six days	छठी / छह दिन	noun	11. Time - Days, Weeks, Months, Years	六日まで 休みです。	I'm off until the 6th.		n5.vocab.11-time-days-weeks-month.六日
七日	なのか	7th / seven days	सातवीं / सात दिन	noun	11. Time - Days, Weeks, Months, Years	七日に 友だちと 会います。	I'll meet a friend on the 7th.		n5.vocab.11-time-days-weeks-month.七日
八日	ようか	8th / eight days	आठवीं / आठ दिन	noun	11. Time - Days, Weeks, Months, Years	八日に たんじょうびが あります。	There's a birthday on the 8th.		n5.vocab.11-time-days-weeks-month.八日
九日	ここのか	9th / nine days	नौवीं / नौ दिन	noun	11. Time - Days, Weeks, Months, Years	九日に かえります。	I'll return on the 9th.		n5.vocab.11-time-days-weeks-month.九日
十日	とおか	10th / ten days	दसवीं / दस दिन	noun	11. Time - Days, Weeks, Months, Years	十日 やすみます。	I'll rest for ten days.		n5.vocab.11-time-days-weeks-month.十日
二十日	はつか	20th / twenty days	बीसवीं / बीस दिन	noun	11. Time - Days, Weeks, Months, Years	二十日に しゅっぱつします。	I'll depart on the 20th.		n5.vocab.11-time-days-weeks-month.二十日
週	しゅう	week	सप्ताह	noun	11. Time - Days, Weeks, Months, Years	一週に 二かい じゅぎょうが あります。	There are classes twice a week.		n5.vocab.11-time-days-weeks-month.週
先週	せんしゅう	last week	पिछला सप्ताह	noun	11. Time - Days, Weeks, Months, Years	先週 京都に 行きました。	I went to Kyoto last week.		n5.vocab.11-time-days-weeks-month.先週
今週	こんしゅう	this week	इस सप्ताह	noun	11. Time - Days, Weeks, Months, Years	今週は しけんが あります。	There is an exam this week.		n5.vocab.11-time-days-weeks-month.今週
来週	らいしゅう	next week	अगला सप्ताह	noun	11. Time - Days, Weeks, Months, Years	来週 京都に 行きます。	Next week I go to Kyoto.		n5.vocab.11-time-days-weeks-month.来週
毎週	まいしゅう	every week	हर सप्ताह	noun	11. Time - Days, Weeks, Months, Years	毎週 友だちに あいます。	I see a friend every week.		n5.vocab.11-time-days-weeks-month.毎週
月曜日	げつようび	Monday	सोमवार	noun	11. Time - Days, Weeks, Months, Years	月曜日に 学校が はじまります。	School starts on Monday.		n5.vocab.11-time-days-weeks-month.月曜日
火曜日	かようび	Tuesday	मंगलवार	noun	11. Time - Days, Weeks, Months, Years	火曜日は いそがしいです。	Tuesday is busy.		n5.vocab.11-time-days-weeks-month.火曜日
